"time_6","time_12","time_18","time_24"
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE
FALSE,FALSE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE
TRUE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,TRUE,FALSE
TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE
TRUE,TRUE,TRUE,TRUE
